comarca;municipi;codiE;lat;lon;alt;data_alta;data_baixa;estat_actual 
Alt Camp;Nulles;VY;41.25095;1.29863;240;18/09/2000;;Operativa
Alt Camp;Vila-rodona;DA;41.30839;1.36220;278;23/01/1998;28/07/2005;Desmantellada
Alt Camp;Vila-rodona;DQ;41.30728;1.36259;287;29/07/2005;;Operativa
Alt Empordà;Cabanes;U1;42.30648;2.95481;31;11/06/1991;;Operativa
Alt Empordà;Castelló d'Empúries;W1;42.24726;3.09021;2;14/03/2000;;Operativa
Alt Empordà;Darnius;J5;42.34215;2.83423;158;05/01/1996;;Operativa
Alt Empordà;Espolla;VZ;42.38443;3.00736;83;07/06/2000;;Operativa
Alt Empordà;Navata;Y5;42.22793;2.86295;152;26/08/2014;;Operativa
Alt Empordà;Portbou;D6;42.43515;3.16622;196;25/03/1998;;Operativa
Alt Empordà;Roses;D4;42.27065;3.18165;24;07/02/1996;;Operativa
Alt Empordà;Sant Pere Pescador;U2;42.17716;3.09680;4;01/05/1989;;Operativa
Alt Empordà;Torroella de Fluvià;W2;42.18259;3.05783;7;14/03/2000;08/04/2014;Desmantellada
Alt Empordà;Torroella de Fluvià;XZ;42.18139;3.06202;7;08/04/2014;;Operativa
Alt Empordà;Ventalló;W3;42.15006;3.06494;4;14/03/2000;12/01/2015;Desmantellada
Alt Penedès;Font-rubí;DI;41.43292;1.62386;415;16/07/1998;;Operativa
Alt Penedès;La Granada;W4;41.36619;1.72857;240;25/12/1999;;Operativa
Alt Penedès;Mediona;WP;41.48518;1.69337;325;17/05/2002;;Operativa
Alt Penedès;Sant Martí Sarroca;U3;41.37491;1.63032;257;24/05/1997;;Operativa
Alt Penedès;Sant Sadurní d'Anoia;WY;41.43386;1.79429;164;11/04/2006;07/05/2021;Desmantellada
